tail_length_no_ri,tail_length_ri,tail_length_ris,tail_length_no_ri_sex,tail_length_ri_sex,tail_length_ris_sex,sex,weight,species
44.977343896504635,42.83115687703908,44.5398351705755,44.977343896504635,42.83115687703908,44.5398351705755,F,69.39524353447787,1
48.81084531833604,46.664658298870485,48.454663966248944,52.81084531833604,50.664658298870485,52.454663966248944,M,72.6982251051672,1
57.80626784408016,57.93316435135908,29.420257759294902,57.80626784408016,57.93316435135908,29.420257759294902,F,90.58708314149123,2
42.47625207097594,44.068651498674036,25.639846634569743,46.47625207097594,48.068651498674036,29.639846634569743,M,75.70508391424576,9
54.436649925937616,52.29046290647206,54.16897758330815,58.436649925937616,56.29046290647206,58.16897758330815,M,76.29287735160946,1
63.54018349963835,63.667080006917274,34.66203004848025,63.54018349963835,63.667080006917274,34.66203004848025,F,92.15064986883282,2
51.66913316199976,53.26153258969786,33.88236229964902,55.66913316199976,57.26153258969786,37.88236229964902,M,79.60916205989203,9
41.96209156638906,39.815904546923505,41.351096872412434,45.96209156638906,43.815904546923505,45.351096872412434,M,62.349387653934656,1
44.45245025713777,44.57934676441669,23.13449817286611,44.45245025713777,44.57934676441669,23.13449817286611,F,68.13147148106474,2
46.55941987919894,44.2765616750275,29.739452252057262,46.55941987919894,44.2765616750275,29.739452252057262,F,70.54338029900042,4
55.5025269308105,53.37820105486759,50.23646834920551,55.5025269308105,53.37820105486759,50.23646834920551,F,87.24081797439462,8
49.98318723002767,47.85886135408476,45.02837045152024,49.98318723002767,47.85886135408476,45.02837045152024,F,78.59813827057364,8
52.772973107543926,58.32299224995601,37.3736183777906,52.772973107543926,58.32299224995601,37.3736183777906,F,79.00771450594053,5
46.37457086783793,47.96697029553603,29.440369517490875,50.37457086783793,51.96697029553603,33.44036951749088,M,76.1068271594512,9
50.367518968740484,48.221331949274926,49.93115137141142,50.367518968740484,48.221331949274926,49.93115137141142,F,69.44158865245925,1
56.24615162516227,53.96329342099083,34.82544208765472,56.24615162516227,53.96329342099083,34.82544208765472,F,92.86913136803078,4
41.21078230846538,46.78205570660716,32.62722225198922,41.21078230846538,46.78205570660716,32.62722225198922,F,79.97850478229239,7
37.16831236993479,45.42745589146343,55.46370457319747,37.16831236993479,45.42745589146343,55.46370457319747,F,55.333828433703616,6
53.2418817710878,53.36877827836672,27.55444728988467,53.2418817710878,53.36877827836672,27.55444728988467,F,82.01355901563686,2
51.286201325528836,56.85747472367061,44.420512124127974,51.286201325528836,56.85747472367061,44.420512124127974,F,70.27208592272066,7
42.461933633141314,37.11567277122984,41.25491025518894,46.461933633141314,41.11567277122984,45.25491025518894,M,64.32176294013155,3
36.70977941835352,36.836675925632434,13.916001823000297,36.70977941835352,36.836675925632434,13.916001823000297,F,72.82025085341705,2
42.39413658809061,40.24794956862505,41.842003441515175,46.39413658809061,44.24794956862505,45.842003441515175,M,64.73995551692761,1
37.85948424370693,46.11862776523557,58.39981874686527,41.85948424370693,50.11862776523557,62.39981874686527,M,67.7110877070886,6
39.49427514250497,47.75341866403361,60.22297255866243,43.49427514250497,51.75341866403361,64.22297255866243,M,68.74960732150743,6
33.93839819011309,31.65553998594165,19.675865196779355,37.93839819011309,35.65553998594165,23.675865196779355,M,58.13306689257587,4
47.69280059990981,53.24281974232189,31.134672562785468,51.69280059990981,57.24281974232189,35.13467256278547,M,83.37787044494524,5
53.95251104196604,59.502530184378124,39.209147970837186,57.95251104196604,63.502530184378124,43.209147970837186,M,76.53373117836516,5
37.65167081722105,35.527344941278145,33.236298878436386,37.65167081722105,35.527344941278145,33.236298878436386,F,63.61863062988053,8
51.5737607355848,59.83290425711344,75.71025558966996,55.5737607355848,63.83290425711344,79.71025558966996,M,87.53814921069926,6
50.55318841438533,56.12446181252711,42.095969876549674,54.55318841438533,60.12446181252711,46.095969876549674,M,79.26464221476813,7
50.47654071293459,45.13027985102312,49.76679925342233,50.47654071293459,45.13027985102312,49.76679925342233,F,72.04928517007728,3
48.64210325485019,46.495916235384634,48.562998683392955,48.64210325485019,46.495916235384634,48.562998683392955,F,83.95125661045023,1
47.75954811831524,47.88644462559416,21.515694043775383,51.75954811831524,51.88644462559416,25.515694043775383,M,83.78133487533043,2
49.01482679711823,54.564845939530315,32.49966985173772,49.01482679711823,54.564845939530315,32.49966985173772,F,83.21581081637487,5
45.08460777433357,50.63462691674565,28.92195148238565,49.08460777433357,54.63462691674565,32.92195148238565,M,81.8864025410009,5
54.869755015037,60.44102841317878,46.18696560550893,58.869755015037,64.44102841317878,50.18696560550893,M,80.53917653537589,7
36.28065077662167,34.13446375715611,35.96590051826937,36.28065077662167,34.13446375715611,35.96590051826937,F,74.38088289423278,1
43.331726294525915,41.18553927506036,42.95688480441943,47.331726294525915,45.18553927506036,46.95688480441943,M,71.94037336260084,1
38.391944884468714,38.518841391747635,16.109634881526354,38.391944884468714,38.518841391747635,16.109634881526354,F,71.19528998987617,2
34.242541184448555,34.36943769172748,12.949310504434154,38.242541184448555,38.36943769172748,16.949310504434152,M,68.05293021079487,2
46.60370459529832,52.1537237377104,32.81832488396444,46.60370459529832,52.1537237377104,32.81832488396444,F,72.92082721980401,5
48.86419654877257,46.71800952930701,48.25311934091615,52.86419654877257,50.71800952930701,52.25311934091615,M,62.34603648431735,1
66.51798160069167,61.171720738780195,67.39389238537052,70.51798160069167,65.1717207387802,71.39389238537052,M,96.68955965338512,3
50.72592894976113,52.31832837745923,31.120632775856354,50.72592894976113,52.31832837745923,31.120632775856354,F,87.07961998304991,9
38.399678541392035,33.05341767948056,37.15707821007108,38.399678541392035,33.05341767948056,37.15707821007108,F,63.76891416796651,3
42.79444430614669,42.9213408134256,20.58268338605627,42.79444430614669,42.9213408134256,20.58268338605627,F,70.97115164700924,2
48.71727439080316,46.571087371337605,48.3028664841602,52.71727439080316,50.571087371337605,52.3028664841602,M,70.33344646376781,1
38.591340776781486,40.183740204479584,20.027912675082085,42.591340776781486,44.183740204479584,24.027912675082085,M,82.79965118336318,9
48.3216570397523,42.97539617784083,47.74815043106677,48.3216570397523,42.97539617784083,47.74815043106677,F,74.16630933528171,3
46.73889066493601,46.86578717221493,22.461684633362044,46.73889066493601,46.86578717221493,22.461684633362044,F,77.53318513994755,2
43.63757373900097,45.22997316669907,27.042297151053315,43.63757373900097,45.22997316669907,27.042297151053315,F,74.71453244651298,9
37.2550475569428,45.51419107847144,59.039661601841964,37.2550475569428,45.51419107847144,59.039661601841964,F,74.57129542708684,6
